text,classification 1,classification 2
#PrayForMarawi,Neutral statement,Not bully
over and over again<ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>,Neutral statement,Not bully
@daleagudaaa nakaka walang tiwala db? hahahahaha,Neutral statement,Not bully
My life's greatest blessing! <ed><U+00A0><U+00BD><ed><U+00B8><U+0087><ed><U+00A0><U+00BD><ed><U+00B9><U+008C> Happy birthday Miko! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BC><ed><U+00BE><U+0088><ed><U+00A0><U+00BC><ed><U+00BE><U+0082><ed><U+00A0><U+00BC><ed><U+00BE><U+0081> @ The Food? https://t.co/8sFWaWFB8e,Neutral statement,Not bully
Tinder HAHAHAHAHA https://t.co/ZAXBJkMk2b,Neutral statement,Not bully
Hays! Talagang nakakalungkot at nakakabahala ang nangyayari sa Marawi. #PrayforMarawi,Neutral statement,Not bully
<ed><U+00A0><U+00BD><ed><U+00B2><U+00AD><ed><U+00A0><U+00BD><ed><U+00B2><U+0094> https://t.co/Rq3pK9OthX,Neutral statement,Not bully
Gnight everyone keep safe and spread the love luv y'all,Neutral statement,Not bully
"a little braver, my @kimwoobinsg huhuhuhu I'm really pissed off when I heard the news about you. Get well soon! https://t.co/RPskmxph3f",Neutral statement,Not bully
HAPPY BIRTHDAY!!! labyu always <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B0><U+00B8> catch up soon <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> @ikaeeel,Neutral statement,Not bully
Study first,Neutral statement,Not bully
Imissyoutoo <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,Neutral statement,Not bully
Goodnight world <ed><U+00A0><U+00BC><ed><U+00BC><U+009A>,Neutral statement,Not bully
@reynielethan Hindi naman sa ganon hays. Let me explain chos,Neutral statement,Not bully
Wala talga ako rest <ed><U+00A0><U+00BD><ed><U+00B8><U+00A4>,Neutral statement,Not bully
The reason why i don't accept suitors haha https://t.co/TQNxqRKTBR,Neutral statement,Not bully
<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/R9WrgJ2IvS,Neutral statement,Not bully
Too good to be true,Neutral statement,Not bully
medj hadlok mo laag karon kay dili safe<ed><U+00A0><U+00BD><ed><U+00B8><U+00BF> God please guide us<ed><U+00A0><U+00BD><ed><U+00B9><U+008F>,Neutral statement,Not bully
<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/ewVnLixJBV,Neutral statement,Not bully
Little Amsterdam in Ph. <ed><U+00A0><U+00BC><ed><U+00BC><U+00B8> #cebu2017 @ Sirao Garden Little Amsterdam https://t.co/4ruL8DYkiG,Neutral statement,Not bully
"Always seeking for clarity, but always afraid to know the answer. Decisions, decisions.",Neutral statement,Not bully
COMBINING ALCOHOL AND RIVERDALE IS NOT A GOOD IDEA!!!!,Neutral statement,Not bully
<ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/RO3SjXhdDA,Neutral statement,Not bully
HOY DANIEL'S IG POST,Neutral statement,Not bully
Yung mga nagsasabi na No to Martial law sana sila na lang pinadala don at makipagusap sa terrorista. <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>,Neutral statement,Not bully
Hahaaaaay gugma pa more <ed><U+00A0><U+00BD><ed><U+00B2><U+0094>,Neutral statement,Not bully
Mas cute kapa kaysa sa future girlfriends ko. <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B0><U+00A2><ed><U+00A0><U+00BD><ed><U+00B0><U+00A2><ed><U+00A0><U+00BD><ed><U+00B0><U+00A2> https://t.co/sTfmPm7Qbl,Neutral statement,Not bully
@penguins Lies. Hockey is stressful. And I'm always crying. Huhu. <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00,Neutral statement,Not bully
Wala bang makati area dito mygod haga,Neutral statement,Not bully
"""Even through the joy I feel the pain

Even in the sun I feel the rain

Even when I'm high I feel the lows, like that's all I know."" #CheerUp",Neutral statement,Not bully
Late night thinking.,Neutral statement,Not bully
heard ur voice and i felt much better <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> thankyyy,Neutral statement,Not bully
<ed><U+00A0><U+00BD><ed><U+00B2><U+0094><ed><U+00A0><U+00BD><ed><U+00B2><U+0094><ed><U+00A0><U+00BD><ed><U+00B2><U+0094> @ Starbucks Legazpi https://t.co/jyrhR00P32,Neutral statement,Not bully
MAH HEART <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B2><U+0099>,Neutral statement,Not bully
im falling through the doors of the emergency room,Neutral statement,Not bully
Lord payakap naman po. <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,Neutral statement,Not bully
Highlight wa<ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>,Neutral statement,Not bully
Goodnight bey<ed><U+00A0><U+00BD><ed><U+00B0><U+009D> @seannelcrz,Neutral statement,Not bully
Hindi qo padin maopen fb account qo<ed><U+00A0><U+00BD><ed><U+00B8><U+00B4>,Neutral statement,Not bully
Inlove na ako inlove na sayoo <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> @kimpoyfeliciano <U+2764>,Neutral statement,Not bully
"If you love her, build her up because she will be doing the same for you.Know that whatever effort you put in,she will be putting in double.",Neutral statement,Not bully
Tangina ang sakit.,Negative statement w/o bullying intentions,Not bully
tanginang neuro why have to be this demanding <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3> <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>,Negative statement w/o bullying intentions,Not bully
HOY TANGINA HAPPY 525 NGA!! #Happy5thKathNiel https://t.co/fbdatAVgQy,Negative statement w/o bullying intentions,Not bully
PUTANGINAKAYO WAG NYO KO HAHAWAKAN!!!! ISNT SHE LOVELY DA WPUTANGISNSNS COLORED PUTANGINA,Negative statement with bullying intentions,Bully
PUTANGINA MGA BAYOTNHUHUHU DANIEL PUTANGINA HUHU ISNT SHE LOVELY,Negative statement with bullying intentions,Bully
MATUTULOG NA SANA AKO TAS BIGLANG NAG NOTIFY HOY TANGINA NAWALA ANTOK KO,Negative statement w/o bullying intentions,Not bully
GAGO SABI NA EH HINDI AKO NAG EXPECT BIGLAMG NAGPOST KOYA MO DANIEL POTANGINAYOKO N paoatayin ako,Negative statement with bullying intentions,Bully
AYOKO NA AHUHUHUHU TANGINA HAPPY 525!!!! COLORED MUMSHIE. HUHUHUHU PAKSHET,Negative statement w/o bullying intentions,Not bully
Mga two days na akong iritable hahaha tangina magkakaron na ata ako...,Neutral statement,Not bully
@kimsings69 HAHAHAHAHAGA TANGINA? https://t.co/hTJPiOlFqS,Negative statement w/o bullying intentions,Not bully
patulog na sana ako pERO PUTANGINA BAT GANON YUNG IG POST NI DANIEL PUNYETA PANO AKO MAKAKATULOG!!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B2><U+0099>,Negative statement w/o bullying intentions,Not bully
TANGINA GAGO GUSTO KO TUMILI BAKA MASAMPAL AKO KASLAANAN MO TOH DJ HUHUUHU GAGO KA,Negative statement w/o bullying intentions,Not bully
@AlmightyJumi YEAH TANGINA TALAGA,Negative statement w/o bullying intentions,Not bully
GOSH AYOKO NA COLORED ULIT TANGINA KA DJ PAAMOT SINGET,Negative statement w/o bullying intentions,Not bully
"yawaa ka, musabay pud kas weather ba tangina<ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B2><U+00A4>",Negative statement w/o bullying intentions,Not bully
Tangina ayoko na.,Negative statement w/o bullying intentions,Not bully
Tangina mo @enjoyGLOBE enjoy globe enjoy globe kapa tangina yung surfing mb ko 79mb na lang. MAY 24 NG UMAGA AKO NAGREGISTER!,Negative statement with bullying intentions,Bully
PUTANGINA https://t.co/3YVLQe3IS8,Negative statement w/o bullying intentions,Not bully
"Tangina tong dalawang to di pa mag balikan<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> well, take time haha",Negative statement w/o bullying intentions,Not bully
"isnt she lonely? @me

isnt she trash? @me



tangina i will never be lovely eh <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>",Negative statement w/o bullying intentions,Not bully
Tangina hahahahaha<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/XqojmEEwWs,Negative statement w/o bullying intentions,Not bully
TANGINA??????? gwapo2 huhu https://t.co/6GIxM7oXFr,Negative statement w/o bullying intentions,Not bully
"luh tangina bigyan ng jacket hahaha gago di naman masakit konti lang huh? di ako umiiyak no, huh?? penge tissue https://t.co/GrkegkM4Xh",Negative statement w/o bullying intentions,Not bully
yung baller ko from him nasakin parin haha miss ko na nagbigay non putangina balik kana oh,Negative statement w/o bullying intentions,Not bully
Tangina initttg,Negative statement w/o bullying intentions,Not bully
tangina denise why are you like this,Negative statement w/o bullying intentions,Not bully
IF I CAN'T DANCE TT SA GRAD DAY TANGINA RING DING DONG NA THIS,Negative statement w/o bullying intentions,Not bully
tangina!! never!! ending!! lungkot!!!!!!!!,Negative statement w/o bullying intentions,Not bully
tangina nababadtrip na ko sa stat,Negative statement w/o bullying intentions,Not bully
Tanginang biyahe yan pauwi para akong nag papakamatay ah,Negative statement w/o bullying intentions,Not bully
Tangina nasstress din ako sa nbi na to,Negative statement w/o bullying intentions,Not bully
"""Chinito pero malaki kita"" tanginang 2 HAHHAHAHAHHAHA",Negative statement w/o bullying intentions,Not bully
Nasusuka na ako sa acads. Tangina di na naman ba ako matutulog?????,Negative statement w/o bullying intentions,Not bully
putangina ayoko na po lord,Negative statement w/o bullying intentions,Not bully
pota sobrang unsterile ni meredith sa or sa season finale. tangina,Negative statement w/o bullying intentions,Not bully
Tangina hahahaha saya saya lang sabay ganun hahaha,Negative statement w/o bullying intentions,Not bully
HOY TANGINAAAAAAA https://t.co/ooWHKusk0K,Negative statement with bullying intentions,Bully
Tangina tinatablan pa pala ko ng sakit,Negative statement w/o bullying intentions,Not bully
@margavarias @Ptrcbrclna Tanginang mag jowa nato e damay pa ko hays hahahaha,Negative statement w/o bullying intentions,Not bully
@margavarias Putangina ka din. HAhahaa <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Negative statement w/o bullying intentions,Not bully
Paload nlng ko oy kusog pa akng 3G ani tangina,Negative statement w/o bullying intentions,Not bully
"Gano ba kahirap intindihin yung ""space"" tangina naman oh <ed><U+00A0><U+00BD><ed><U+00B8><U+008C>",Negative statement w/o bullying intentions,Not bully
"tangina naka data lang ako, wala pang thursday mageexpire na to sure ako :v",Negative statement w/o bullying intentions,Not bully
@1975muse @YouTube HAHAHAHAHAHAHAHAHA! PUTANGINA EHLGEE! #LanistersVSTargaryen <ed><U+00A0><U+00BD><ed><U+00B2><U+0093><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>,Negative statement w/o bullying intentions,Not bully
Tangina lasing na ko,Negative statement w/o bullying intentions,Not bully
@poliminaj TANGINA AKALA KO NUNG UNA NAKASALAKSAK SA CLOACA YUNG PILLS,Negative statement w/o bullying intentions,Not bully
SOME DAY s pUTANGINA IT'S BEEN SO LONG SINCE I LAST LISENEND TO THIS SONGJSDKJSN,Negative statement w/o bullying intentions,Not bully
Ok lang na mamiss kasama naman yon sa pag mmove on. Tangina dapat talaga strong ka,Negative statement w/o bullying intentions,Not bully
TANGINA GOT7 TRAILER GAGO,Negative statement w/o bullying intentions,Not bully
@marinongkalbo yung G na G ako tangina pero prank mo lang pala <ed><U+00A0><U+00BD><ed><U+00B8><U+009F><ed><U+00A0><U+00BD><ed><U+00B8><U+00A4> https://t.co/rdQe4ZpFo4,Negative statement with bullying intentions,Bully
Tangina!! Such true!!! Perf!! Accurate much!!! https://t.co/gNL2NrZeCB,Negative statement w/o bullying intentions,Not bully
Kahit putangina ang sakit talaga bes eh kung alam nyo lang gano kasakit puta talaga iba kase bes iba talaga hanep pero putangina life ......,Negative statement with bullying intentions,Bully
Tanginang bobo,Negative statement with bullying intentions,Bully
FEEL KO NABASA NI DJ COMMENT KO TANGINA MURA ATA CINOMMENT Q,Negative statement w/o bullying intentions,Not bully
NAKAKASELOS TANGINAAA! :(,Negative statement w/o bullying intentions,Not bully
Kahit mahal na mahal mo putangina sige lang mahalin mo lang hanggang sa hindi mo na mahal na mahal,Negative statement w/o bullying intentions,Not bully
SILA PA TALAGA BUMUNGAD SA NEWSFEED KO <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> SWEET NYO TANGINA KAYO NA. KAYO NA TALAGAAAAAAAA :(,Negative statement w/o bullying intentions,Not bully
Bes acads muna tayo para sa future tangina di naman kame mayaman eto na lng kaya kong ipagmalaki eh,Negative statement with bullying intentions,Bully
Tangina bes i love myself <U+2764>,Negative statement w/o bullying intentions,Not bully
TANGINA SA JAKARTA NAMAN NGAYON ANUNA <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,Negative statement w/o bullying intentions,Not bully
Tanginang fb yan puro tapos maligo di naman nagsisiligo pati wanted bf gf haha nako po kada scroll down haha nuod na lang movie!! -halfbaked,Negative statement w/o bullying intentions,Not bully
kung pwede lang umiyak sa harap mo putangina ka,Negative statement with bullying intentions,Bully
"sabihin mo kung ako ba, kung ako ba problema putangina <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",Negative statement with bullying intentions,Bully
P*tangina nagising ako sa trailer ng Game of Thrones!!!! Huhu di ko mashare sa fb cozz.... hahaha,Negative statement w/o bullying intentions,Not bully
Akala mo napakabuti mong boyfriend hahaha putangina ano ba kasalanan ko sayo?,Negative statement with bullying intentions,Bully
tanginaaaa yung puso kooo <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099> https://t.co/7S4QVkalBu,Negative statement w/o bullying intentions,Not bully
Puta ka din magsama kayo ni Trillanes tangina nyo binibeastmode mo si acouh. https://t.co/m8Ba12CdtI,Negative statement with bullying intentions,Bully
Tanginaaa!!!! https://t.co/DnQdifOsRr,Negative statement w/o bullying intentions,Not bully
Tangina naman,Negative statement with bullying intentions,Bully
Walang gabi na hindi ako umiyak dahil sa mga kaputanginahan na ginagawa mo.,Negative statement with bullying intentions,Bully
@_Stephera @HeyMigsHere tangina mo,Negative statement with bullying intentions,Bully
Dalawang araw na kong di natutulog putangina ano ba ginagawa ko sa sarili ko?????,Negative statement w/o bullying intentions,Not bully
Natuwa lang ako sa tangina pewo di ako nag mumuwa,Negative statement w/o bullying intentions,Not bully
TAPUS NA SEM KO TANGINANG SEM TO DAMING GANAP!!!,Negative statement w/o bullying intentions,Not bully
Tangina di k ma-unsubscribe yung redeem points ko sa globe rewards! @enjoyGLOBE,Negative statement w/o bullying intentions,Not bully
"i get it, kim woo bin is xjjsmxndjd pero putangina hahahahaha gago ka ba???¿¿¿?¿¿? https://t.co/Me37Vhp4yp",Negative statement with bullying intentions,Bully
Sarap ibalibag ni Ueno tangina walang dulot,Negative statement with bullying intentions,Bully
Tangina talaga.,Negative statement with bullying intentions,Bully
Tangina ang gastos ko this week di ko na alam,Negative statement w/o bullying intentions,Not bully
Can't sleep ugh tangina eto na naman tayo,Negative statement w/o bullying intentions,Not bully
Hi ako nga pala si Daniel. Padilla naman sa pussy mo HAHAHHAHAHAHAH TANGINA I DO NOT OWN THIS CONTENT SO DONT BLAME ME PLS,Negative statement w/o bullying intentions,Not bully
Tangina uuwi ba ako? Haha,Negative statement w/o bullying intentions,Not bully
Supot yung mga ISIS na yan. Tangina! Sarap putulan ng etits isa-isa ng mga yan. Tangina!,Negative statement with bullying intentions,Bully
Tangina at tatlong beses pa sya nag DM <ed><U+00A0><U+00BD><ed><U+00B8><U+0092> at nag tweet pa. Sino ba nagamit nun kung hnd sya yun? <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>,Negative statement w/o bullying intentions,Not bully
Tangina kailan ba ako uuwi ng bahay ng hindi nag uumaga <ed><U+00A0><U+00BD><ed><U+00B9><U+0084> (deep inside:<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>),Negative statement w/o bullying intentions,Not bully
PUTANGINA LASING NA AKO. HELP,Negative statement w/o bullying intentions,Not bully
tangina ang sakit ng ulo ko,Negative statement w/o bullying intentions,Not bully
kaimbyerna ung ibang armys na kino-compare kung kani-kanino ang bts. kaya pumapangit image ng fandom naten eh tangina #BTS,Negative statement with bullying intentions,Bully
Tangina! Tipsy lang ako d ako lasing pero yong kAinuman ko tinutulugan ako. Hahahaha,Negative statement w/o bullying intentions,Not bully
Tanginaka coco HAHAHAHAHA,Negative statement w/o bullying intentions,Not bully
putangina bat straight yung graph na nakukuha ko jusko,Negative statement w/o bullying intentions,Not bully
Tangina pahamak ka!,Negative statement with bullying intentions,Bully
Maka tulog na nga lang tangina panira ng moment letche <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>,Negative statement w/o bullying intentions,Not bully
Tangina neto ang kulit. Napipikon na ko ha,Negative statement with bullying intentions,Bully
Tangina natapos rin Tax 2!!!!!!!!!!!!!!!!,Negative statement w/o bullying intentions,Not bully
Mga putangina ng taon.,Negative statement with bullying intentions,Bully
PUTANGINA PANO KUMALMA??? https://t.co/jHC8R4eyQ2,Negative statement w/o bullying intentions,Not bully
TANGINA PAGOD NA PAGOD NA KO,Negative statement w/o bullying intentions,Not bully
Tangina 170 <ed><U+00A0><U+00BD><ed><U+00B8><U+0093>,Negative statement w/o bullying intentions,Not bully
GAGO SABI NA EH HINDI AKO NAG EXPECT BIGLAMG NAGPOST KOYA MO DANIEL POTANGINAYOKO N paoatayin ako,Negative statement with bullying intentions,Bully
UY GAGO BAKIT KA GANYAN HUHUHUHUHU https://t.co/okEE8ExhP7,Negative statement w/o bullying intentions,Not bully
GAGO WAG KANG NANGGUGULAT JUHUHUHUHHU MY HEART https://t.co/u0GY3LmWkC,Negative statement w/o bullying intentions,Not bully
gago lagot ako HAHAHAHAHAHAHAHA shet,Negative statement w/o bullying intentions,Not bully
Ang gago naman. Wala na. Tinamad na ko panoorin.,Negative statement w/o bullying intentions,Not bully
GAGO IM SO STOKED FOR GOTS7 TONG GOT TWITTER HILIG MAGLABAS KAPAG 12MN DITO SA PH,Negative statement w/o bullying intentions,Not bully
"Lagi na,an tayong ginagago ng morse type e",Negative statement w/o bullying intentions,Not bully
Lagi naman tayong ginagago ng morse type e,Negative statement w/o bullying intentions,Not bully
meron pa si mae gago vice yon https://t.co/YQQkmUwd0Y,Negative statement with bullying intentions,Bully
"""Kung mabungkag mani, ok ra, naa bitaw koy ani para maadtuan if ever mabungka man ta"" Sige judddd hahahahahahahha utro sad ka gago ka",Negative statement with bullying intentions,Bully
@easykiiel gago to.,Negative statement with bullying intentions,Bully
"You did not earn your place, it was given to you ot of mercy because we all know mugawas imong gago nga batasan if it wasn't given to youz",Negative statement w/o bullying intentions,Not bully
Gago ayaw ko na non.,Negative statement w/o bullying intentions,Not bully
Gago ang dami kong gustong sabihin sayo. Kaso wag na lang hahahahahahahahaha some things are better left unsaid,Negative statement w/o bullying intentions,Not bully
TANGINA GOT7 TRAILER GAGO,Negative statement w/o bullying intentions,Not bully
GAGOFNFKNFKDMFNKDKD https://t.co/FxUIzUQz9E,Negative statement with bullying intentions,Bully
gago wild asf https://t.co/629XA0eQcn,Negative statement with bullying intentions,Bully
Didto naka sa grupo nimo nga sipsip kaayo ka oy! Hahaha panglibre pa more hahaha gago ka hugaw kaayo ka,Negative statement w/o bullying intentions,Not bully
Klaro man ana lang ka pag naa kay gusto i-impress. Oh come on? Don't me! Hahahahahaha gago ka,Negative statement with bullying intentions,Bully
Nakakagago lang. <ed><U+00A0><U+00BD><ed><U+00B9><U+0083>,Negative statement w/o bullying intentions,Not bully
NP: Aral Na Gago May Finals Ka Pa Bukas - @LaLaLance24 The Rapper ft eJay Z,Negative statement w/o bullying intentions,Not bully
May swimming kami ng 8-5 kaso nag text si shalala may exam daw ng 9-2 abay gago pala to eh. 9-10 ko lang tatapusin yan bala ka,Negative statement w/o bullying intentions,Not bully
GAGO INAMIN KO SA MGA KAINUMAN KO NA DI AKO STRAIGHT. HAHAAHHAAH POTA,Negative statement w/o bullying intentions,Not bully
DAMN THAT #GoTS7 TRAILER GAGO I AM SHOOOOOKTTTTTT,Negative statement w/o bullying intentions,Not bully
Parang gago talaga to si barcelona. Nag send ng picture ng manika bablock ko na to eh. HAHAHAHAHAHHAHAHAHAHA,Negative statement w/o bullying intentions,Not bully
"i get it, kim woo bin is xjjsmxndjd pero putangina hahahahaha gago ka ba???¿¿¿?¿¿? https://t.co/Me37Vhp4yp",Negative statement w/o bullying intentions,Not bully
Bsg gago? <ed><U+00A0><U+00BD><ed><U+00B8><U+0091>,Negative statement w/o bullying intentions,Not bully
"*unknown number calling*

Me: hello? Sino to?

Him:...

M: hello?

H: pwedeng magpakilala?

Me: bading to gago

Toot toot

Bastos.

Hahahaha",Negative statement w/o bullying intentions,Not bully
Hahahaha gago! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/tFnMgfGq3E,Negative statement w/o bullying intentions,Not bully
"TAS KALA MO BANAL TALAGA SI GAGO. MAGMUMURA KA SA HARAP NG KAIBIGAN KO, PARA ANO? PARA COOL KA TIGNAN? GAGO MUKHA KANG PERA!",Negative statement with bullying intentions,Bully
"MUKHANG GAGO, TANGA, MUKHA KANG PERA!",Negative statement with bullying intentions,Bully
"*teasing my bro, showing his ex's pics*

Him: Sus, gusto mo lang yan mahalin eh. 

GAGO! HAHAHAHAHAHA",Negative statement w/o bullying intentions,Not bully
"i cry for you every night

joke lang gago",Negative statement w/o bullying intentions,Not bully
Grabe pang gagago nyo sakin nuon mga hayup kayo,Negative statement with bullying intentions,Bully
gagong jr tinotoo yung atake sa'kin<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> nasuntok ko tuloy<ed><U+00A0><U+00BE><ed><U+00B4><U+009B><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BE><ed><U+00B4><U+009C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>,Negative statement with bullying intentions,Bully
"I deleted each and every of our photo



coz gago ka. i need peace",Negative statement with bullying intentions,Bully
Kasi naman nalimutan nilang i-announce yung award ko na Summa Cum Gago. Hindi tuloy ako nakaakyat ng stage! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Negative statement w/o bullying intentions,Not bully
u'll say sinisiraan kita. eh gago ka pala e. dinidescribe ko lang kung ano ginawa mo,Negative statement with bullying intentions,Bully
may pagka gago din ng slight si marie <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Negative statement with bullying intentions,Bully
parang gago yung panaginip ko. pinagloloko ako e.,Negative statement w/o bullying intentions,Not bully
@lcrintantan @imjmokay GAGO,Negative statement with bullying intentions,Bully
@Ching9184 gago vball player daw oy hahahahhahaha,Negative statement w/o bullying intentions,Not bully
sana dalawa puso ko para pag nabreak yung isa yung isa naman <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> gago nabasa ko lang,Negative statement w/o bullying intentions,Not bully
gago ginising ako nung ulan. sabi ko noon time not 4hrs later,Negative statement w/o bullying intentions,Not bully
Ayos lang sayo yan ng magtanda ka naman. Yung mas malala pa sana para matigil kana sa pang gago mo sa kapwa mo!,Negative statement with bullying intentions,Bully
TANGINA NYO PONG LAHAT. MGA GAGO KAYO. MGA WALANG MODO. https://t.co/5XJgJaZxAS,Negative statement with bullying intentions,Bully
Gago gago mani sya,Negative statement with bullying intentions,Bully
Gago naman ni sya,Negative statement with bullying intentions,Bully
Gago ka nga talaga <ed><U+00A0><U+00BD><ed><U+00B6><U+0095>,Negative statement with bullying intentions,Bully
"""Naghikog kag ceres lights ana imng dp?"" Gago jud <U+2639><U+FE0F>",Neutral statement,Not bully
Ay daw sa gago!!! Kadto di bala sa rxs gi! https://t.co/zj2wSkUQCz,Negative statement with bullying intentions,Bully
Ang gago ng season finale ng Arrow........,Negative statement w/o bullying intentions,Not bully
@jhomyah @LORENZO8D HAAHAHAHAHAHAHAHAHAAHHAHAHAHA GAGO,Negative statement w/o bullying intentions,Not bully
@MamshieRedge mamatay na sana yang kim wo boo ma mo gago sa sobrang pag ka fan mo natatanga ka na bobo mamatay na sana yan sama ka na din<ed><U+00A0><U+00BC><ed><U+00BC><U+00B5>,Negative statement with bullying intentions,Bully
Hindi na ko babalik ng pinas hahahahah! Mag ttnt na lang ako. Nakakagago mga tao dito https://t.co/1kLjtcpcMn,Negative statement w/o bullying intentions,Not bully
Gago ang sweet ko,Negative statement w/o bullying intentions,Not bully
@MXErudicion gago high blood momshie mo bessy,Negative statement with bullying intentions,Bully
"Martial Law ba ka mo? Ayan oh! Ngawa kayo ng ngawa, sana kayo na lang nahostage at napugotang ulo mga gago kayo. CT? https://t.co/9hcVM05wa5",Negative statement with bullying intentions,Bully
@LugayOfficial Gago! Asan ka??,Negative statement w/o bullying intentions,Not bully
"Ginagago kana, tuwang tuwa kapa.",Negative statement w/o bullying intentions,Not bully
gagong bata to pinakelaman acct q <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Negative statement with bullying intentions,Bully
hahaha ang dami kong gustong plot ng novel tapos ako yung kinikilig sa sinusulat ko gago lang?,Negative statement w/o bullying intentions,Not bully
"Paano mag mahal ng hindi nasasaktan?."" 

Wag kang mag mahal gago",Negative statement w/o bullying intentions,Not bully
Why is he threatening us? Gago ba sya? https://t.co/UGDrY4SFbp,Negative statement with bullying intentions,Bully
kagago amputa,Negative statement with bullying intentions,Bully
mag post2 kag something stupid tapos pag na bash ka idelete nimo?? panindigan mo yan gago hugas kamay masyado ulol lang,Negative statement with bullying intentions,Bully
@PanchoWasHere Hindi. Pero mukha akong gago alwaysss. Ya feel meh,Negative statement w/o bullying intentions,Not bully
@drckchrls @kayeeeevalle gago bawal samin,Negative statement with bullying intentions,Bully
